country,year,response,month,covid
Argentina,2011,0.21,MAR,no
Austria,2011,0.02,MAR,no
Australia,2011,0.09,MAR,no
Begium,2011,0.04,MAR,no
Bulgaria,2011,0.02,MAR,no
Bolivia (Plurinational State of),2011,0.01,MAR,no
Brazil,2011,0.10,MAR,no
Botswana,2011,0.24,MAR,no
Belize,2011,0.02,MAR,no
Canada,2011,0.03,MAR,no
Switzerland,2011,0.01,MAR,no
Chile,2011,0.09,MAR,no
China,2011,0.15,MAR,no
Colombia,2011,0.10,MAR,no
Costa Rica,2011,0.21,MAR,no
Cuba,2011,0.22,MAR,no
Czechia,2011,0.02,MAR,no
Germany,2011,0.10,MAR,no
Denmark,2011,0.01,MAR,no
Dominican Republic (the),2011,,MAR,no
Ecuador,2011,0.16,MAR,no
Egypt,2011,0.28,MAR,no
Spain,2011,0.03,MAR,no
Finland,2011,0.00,MAR,no
France,2011,0.05,MAR,no
United Kingdom of Great Britain and Northern Ireland (the),2011,0.07,MAR,no
Greece,2011,0.07,MAR,no
Hong Kong,2011,0.04,MAR,no
Honduras,2011,0.51,MAR,no
Hungary,2011,0.09,MAR,no
Indonesia,2011,0.13,MAR,no
Ireland,2011,0.04,MAR,no
Israel,2011,0.01,MAR,no
India,2011,0.09,MAR,no
Italy,2011,0.04,MAR,no
Japan,2011,0.03,MAR,no
Kenya,2011,0.11,MAR,no
Cambodia,2011,0.11,MAR,no
Korea (the Republic of),2011,0.10,MAR,no
Kazakhstan,2011,0.06,MAR,no
Sri Lanka,2011,0.01,MAR,no
Lithuania,2011,,MAR,no
Morocco,2011,0.42,MAR,no
Madagascar,2011,0.39,MAR,no
Mexico,2011,0.09,MAR,no
Malaysia,2011,0.04,MAR,no
Nigeria,2011,0.05,MAR,no
Nicaragua,2011,0.08,MAR,no
Netherlands (the),2011,0.09,MAR,no
Norway,2011,0.44,MAR,no
New Zealand,2011,0.15,MAR,no
Panama,2011,0.08,MAR,no
Peru,2011,0.21,MAR,no
Philippines (the),2011,0.14,MAR,no
Poland,2011,0.01,MAR,no
Portugal,2011,0.09,MAR,no
Serbia,2011,0.11,MAR,no
Russian Federation (the),2011,0.01,MAR,no
Sweden,2011,0.03,MAR,no
Singapore,2011,0.14,MAR,no
Slovakia,2011,0.01,MAR,no
Turkey,2011,0.40,MAR,no
Trinidad and Tobago,2011,0.08,MAR,no
Taiwan ,2011,0.09,MAR,no
"Tanzania, United Republic of",2011,0.32,MAR,no
Ukraine,2011,0.02,MAR,no
United States of America (the),2011,0.07,MAR,no
Venezuela (Bolivarian Republic of),2011,0.33,MAR,no
Vietnam,2011,0.27,MAR,no
South Africa,2011,0.08,MAR,no
Argentina,2011,0.07,APR,no
Austria,2011,0.02,APR,no
Australia,2011,0.13,APR,no
Begium,2011,0.10,APR,no
Bulgaria,2011,,APR,no
Bolivia (Plurinational State of),2011,0.24,APR,no
Brazil,2011,0.07,APR,no
Botswana,2011,0.08,APR,no
Belize,2011,0.04,APR,no
Canada,2011,0.05,APR,no
Switzerland,2011,0.07,APR,no
Chile,2011,0.12,APR,no
China,2011,0.14,APR,no
Colombia,2011,0.09,APR,no
Costa Rica,2011,0.03,APR,no
Cuba,2011,0.01,APR,no
Czechia,2011,0.08,APR,no
Germany,2011,0.20,APR,no
Denmark,2011,0.05,APR,no
Dominican Republic (the),2011,0.49,APR,no
Ecuador,2011,0.09,APR,no
Egypt,2011,0.09,APR,no
Spain,2011,0.19,APR,no
Finland,2011,0.19,APR,no
France,2011,0.10,APR,no
United Kingdom of Great Britain and Northern Ireland (the),2011,0.14,APR,no
Greece,2011,0.21,APR,no
Hong Kong,2011,0.22,APR,no
Honduras,2011,0.11,APR,no
Hungary,2011,0.02,APR,no
Indonesia,2011,0.01,APR,no
Ireland,2011,0.36,APR,no
Israel,2011,0.15,APR,no
India,2011,0.10,APR,no
Italy,2011,0.15,APR,no
Japan,2011,0.06,APR,no
Kenya,2011,0.02,APR,no
Cambodia,2011,0.09,APR,no
Korea (the Republic of),2011,0.12,APR,no
Kazakhstan,2011,0.25,APR,no
Sri Lanka,2011,0.09,APR,no
Lithuania,2011,0.12,APR,no
Morocco,2011,0.16,APR,no
Madagascar,2011,0.08,APR,no
Mexico,2011,0.12,APR,no
Malaysia,2011,0.03,APR,no
Nigeria,2011,0.26,APR,no
Nicaragua,2011,0.09,APR,no
Netherlands (the),2011,0.14,APR,no
Norway,2011,0.21,APR,no
New Zealand,2011,0.17,APR,no
Panama,2011,0.08,APR,no
Peru,2011,0.12,APR,no
Philippines (the),2011,0.25,APR,no
Poland,2011,0.16,APR,no
Portugal,2011,0.20,APR,no
Serbia,2011,0.20,APR,no
Russian Federation (the),2011,0.04,APR,no
Sweden,2011,0.53,APR,no
Singapore,2011,0.10,APR,no
Slovakia,2011,0.13,APR,no
Turkey,2011,0.08,APR,no
Trinidad and Tobago,2011,0.12,APR,no
Taiwan ,2011,0.11,APR,no
"Tanzania, United Republic of",2011,0.01,APR,no
Ukraine,2011,0.11,APR,no
United States of America (the),2011,0.13,APR,no
Venezuela (Bolivarian Republic of),2011,0.29,APR,no
Vietnam,2011,0.05,APR,no
South Africa,2011,0.04,APR,no
Argentina,2011,0.09,MAY,no
Austria,2011,0.10,MAY,no
Australia,2011,0.06,MAY,no
Begium,2011,0.07,MAY,no
Bulgaria,2011,0.04,MAY,no
Bolivia (Plurinational State of),2011,0.29,MAY,no
Brazil,2011,0.04,MAY,no
Botswana,2011,0.15,MAY,no
Belize,2011,0.12,MAY,no
Canada,2011,0.13,MAY,no
Switzerland,2011,0.22,MAY,no
Chile,2011,0.04,MAY,no
China,2011,0.12,MAY,no
Colombia,2011,0.16,MAY,no
Costa Rica,2011,0.36,MAY,no
Cuba,2011,0.10,MAY,no
Czechia,2011,0.24,MAY,no
Germany,2011,0.15,MAY,no
Denmark,2011,0.06,MAY,no
Dominican Republic (the),2011,0.12,MAY,no
Ecuador,2011,0.09,MAY,no
Egypt,2011,0.03,MAY,no
Spain,2011,0.19,MAY,no
Finland,2011,0.10,MAY,no
France,2011,0.14,MAY,no
United Kingdom of Great Britain and Northern Ireland (the),2011,0.15,MAY,no
Greece,2011,0.25,MAY,no
Hong Kong,2011,0.24,MAY,no
Honduras,2011,0.12,MAY,no
Hungary,2011,0.46,MAY,no
Indonesia,2011,0.12,MAY,no
Ireland,2011,0.10,MAY,no
Israel,2011,0.21,MAY,no
India,2011,0.05,MAY,no
Italy,2011,0.21,MAY,no
Japan,2011,0.28,MAY,no
Kenya,2011,0.04,MAY,no
Cambodia,2011,0.07,MAY,no
Korea (the Republic of),2011,0.14,MAY,no
Kazakhstan,2011,0.17,MAY,no
Sri Lanka,2011,0.02,MAY,no
Lithuania,2011,0.12,MAY,no
Morocco,2011,0.26,MAY,no
Madagascar,2011,0.07,MAY,no
Mexico,2011,0.10,MAY,no
Malaysia,2011,0.10,MAY,no
Nigeria,2011,0.05,MAY,no
Nicaragua,2011,0.24,MAY,no
Netherlands (the),2011,0.14,MAY,no
Norway,2011,0.01,MAY,no
New Zealand,2011,0.10,MAY,no
Panama,2011,0.06,MAY,no
Peru,2011,0.10,MAY,no
Philippines (the),2011,0.08,MAY,no
Poland,2011,0.24,MAY,no
